time,GHI,DNI,DHI
2025-08-04 00:00:00,0.0,0.0,0.0
2025-08-04 01:00:00,0.0,0.0,0.0
2025-08-04 02:00:00,0.0,0.0,0.0
2025-08-04 03:00:00,0.0,0.0,0.0
2025-08-04 04:00:00,0.0,0.0,0.0
2025-08-04 05:00:00,0.0,0.0,0.0
2025-08-04 06:00:00,0.0,0.0,0.0
2025-08-04 07:00:00,3.0,0.0,3.0
2025-08-04 08:00:00,95.0,170.4,60.0
2025-08-04 09:00:00,241.0,232.5,139.0
2025-08-04 10:00:00,383.0,282.2,202.0
2025-08-04 11:00:00,582.0,378.6,279.0
2025-08-04 12:00:00,549.0,277.7,298.0
2025-08-04 13:00:00,616.0,347.9,287.0
2025-08-04 14:00:00,674.0,389.1,315.0
2025-08-04 15:00:00,483.0,265.5,261.0
2025-08-04 16:00:00,335.0,206.6,192.0
2025-08-04 17:00:00,289.0,265.7,156.0
2025-08-04 18:00:00,125.0,174.9,77.0
2025-08-04 19:00:00,14.0,17.7,12.0
2025-08-04 20:00:00,0.0,0.0,0.0
2025-08-04 21:00:00,0.0,0.0,0.0
2025-08-04 22:00:00,0.0,0.0,0.0
2025-08-04 23:00:00,0.0,0.0,0.0
